event_ticker,event_title,market_ticker,yes_team_subtitle,no_team_subtitle,status,result,open_time,close_time,occurrence_datetime,settlement_value_dollars,volume,open_interest
KXWCGAME-26JUN27COLPOR,Colombia vs Portugal,KXWCGAME-26JUN27COLPOR-COL,Colombia,Colombia,finalized,no,2026-02-04T18:28:00Z,2026-06-28T01:29:42Z,2026-06-28T01:18:29.71Z,0.0,30359673.3,19730584.51
KXWCGAME-26JUN27COLPOR,Colombia vs Portugal,KXWCGAME-26JUN27COLPOR-POR,Portugal,Portugal,finalized,no,2026-02-04T18:28:00Z,2026-06-28T01:29:42Z,2026-06-28T01:18:29.71Z,0.0,33637175.59,21167894.45
KXWCGAME-26JUN27COLPOR,Colombia vs Portugal,KXWCGAME-26JUN27COLPOR-TIE,Tie,Tie,finalized,yes,2026-02-04T18:28:00Z,2026-06-28T01:29:42Z,2026-06-28T01:18:29.71Z,1.0,15162507.93,7493684.68
KXWCGAME-26JUN27CODUZB,Congo DR vs Uzbekistan,KXWCGAME-26JUN27CODUZB-COD,Congo DR,Congo DR,finalized,yes,2026-05-22T18:52:00Z,2026-06-28T01:34:24Z,2026-06-28T02:30:00Z,1.0,10239254.05,4651818.69
KXWCGAME-26JUN27CODUZB,Congo DR vs Uzbekistan,KXWCGAME-26JUN27CODUZB-UZB,Uzbekistan,Uzbekistan,finalized,no,2026-05-22T18:52:00Z,2026-06-28T01:34:24Z,2026-06-28T02:30:00Z,0.0,8508004.95,4266453.19
KXWCGAME-26JUN27CODUZB,Congo DR vs Uzbekistan,KXWCGAME-26JUN27CODUZB-TIE,Tie,Tie,finalized,no,2026-05-22T18:52:00Z,2026-06-28T01:34:24Z,2026-06-28T02:30:00Z,0.0,5215367.71,1770496.89
KXWCGAME-26JUN27PANENG,Panama vs England,KXWCGAME-26JUN27PANENG-PAN,Panama,Panama,finalized,no,2026-02-04T18:28:00Z,2026-06-27T22:54:29Z,,0.0,14072666.27,10115686.87
KXWCGAME-26JUN27PANENG,Panama vs England,KXWCGAME-26JUN27PANENG-ENG,England,England,finalized,yes,2026-02-04T18:28:00Z,2026-06-27T22:54:29Z,,1.0,11195085.54,5362258.13
KXWCGAME-26JUN27PANENG,Panama vs England,KXWCGAME-26JUN27PANENG-TIE,Tie,Tie,finalized,no,2026-02-04T18:28:00Z,2026-06-27T22:54:29Z,,0.0,7048288.56,4059934.39
KXWCGAME-26JUN27CROGHA,Croatia vs Ghana,KXWCGAME-26JUN27CROGHA-CRO,Croatia,Croatia,finalized,yes,2026-02-04T18:28:00Z,2026-06-27T22:59:47Z,,1.0,14174319.28,6988310.29
KXWCGAME-26JUN27CROGHA,Croatia vs Ghana,KXWCGAME-26JUN27CROGHA-GHA,Ghana,Ghana,finalized,no,2026-02-04T18:28:00Z,2026-06-27T22:59:47Z,,0.0,13525620.74,8592457.38
KXWCGAME-26JUN27CROGHA,Croatia vs Ghana,KXWCGAME-26JUN27CROGHA-TIE,Tie,Tie,finalized,no,2026-02-04T18:28:00Z,2026-06-27T22:59:47Z,,0.0,9486536.76,4553180.82
KXWCGAME-26JUN26NZLBEL,New Zealand vs Belgium,KXWCGAME-26JUN26NZLBEL-NZL,New Zealand,New Zealand,finalized,no,2026-02-04T18:28:00Z,2026-06-27T04:59:37Z,2026-06-27T04:48:36.923Z,0.0,17505950.79,14653561.56
KXWCGAME-26JUN26NZLBEL,New Zealand vs Belgium,KXWCGAME-26JUN26NZLBEL-BEL,Belgium,Belgium,finalized,yes,2026-02-04T18:28:00Z,2026-06-27T04:59:37Z,2026-06-27T04:48:36.923Z,1.0,8415728.06,5328498.65
KXWCGAME-26JUN26NZLBEL,New Zealand vs Belgium,KXWCGAME-26JUN26NZLBEL-TIE,Tie,Tie,finalized,no,2026-02-04T18:28:00Z,2026-06-27T04:59:37Z,2026-06-27T04:48:36.923Z,0.0,6638911.82,4791021.76
KXWCGAME-26JUN26EGYIRI,Egypt vs IR Iran,KXWCGAME-26JUN26EGYIRI-EGY,Egypt,Egypt,finalized,no,2026-02-04T18:28:00Z,2026-06-27T05:04:22Z,2026-06-27T04:50:43.131Z,0.0,28413018.66,16362853.03
KXWCGAME-26JUN26EGYIRI,Egypt vs IR Iran,KXWCGAME-26JUN26EGYIRI-IRI,IR Iran,IR Iran,finalized,no,2026-02-04T18:28:00Z,2026-06-27T05:04:22Z,2026-06-27T04:50:43.131Z,0.0,14656305.67,6774079.75
KXWCGAME-26JUN26EGYIRI,Egypt vs IR Iran,KXWCGAME-26JUN26EGYIRI-TIE,Tie,Tie,finalized,yes,2026-02-04T18:28:00Z,2026-06-27T05:04:22Z,2026-06-27T04:50:43.131Z,1.0,11827732.51,4709930.34
KXWCGAME-26JUN26URUESP,Uruguay vs Spain,KXWCGAME-26JUN26URUESP-URU,Uruguay,Uruguay,finalized,no,2026-02-04T18:28:00Z,2026-06-27T02:04:26Z,2026-06-27T01:51:28.461Z,0.0,14636488.21,10574594.12
KXWCGAME-26JUN26URUESP,Uruguay vs Spain,KXWCGAME-26JUN26URUESP-ESP,Spain,Spain,finalized,yes,2026-02-04T18:28:00Z,2026-06-27T02:04:26Z,2026-06-27T01:51:28.461Z,1.0,29086078.32,17947083.91
KXWCGAME-26JUN26URUESP,Uruguay vs Spain,KXWCGAME-26JUN26URUESP-TIE,Tie,Tie,finalized,no,2026-02-04T18:28:00Z,2026-06-27T02:04:26Z,2026-06-27T01:51:28.461Z,0.0,5221912.1,2762804.64
KXWCGAME-26JUN26CPVKSA,Cape Verde vs Saudi Arabia,KXWCGAME-26JUN26CPVKSA-CPV,Cape Verde,Cape Verde,finalized,no,2026-02-04T18:28:00Z,2026-06-27T01:59:41Z,,0.0,15342166.82,9172698.81
KXWCGAME-26JUN26CPVKSA,Cape Verde vs Saudi Arabia,KXWCGAME-26JUN26CPVKSA-KSA,Saudi Arabia,Saudi Arabia,finalized,no,2026-02-04T18:28:00Z,2026-06-27T01:59:41Z,,0.0,4572761.74,3129943.05
KXWCGAME-26JUN26CPVKSA,Cape Verde vs Saudi Arabia,KXWCGAME-26JUN26CPVKSA-TIE,Tie,Tie,finalized,yes,2026-02-04T18:28:00Z,2026-06-27T01:59:41Z,,1.0,5998460.63,3918012.76
KXWCGAME-26JUN26SENIRQ,Senegal vs Iraq,KXWCGAME-26JUN26SENIRQ-SEN,Senegal,Senegal,finalized,yes,2026-05-22T18:52:00Z,2026-06-26T21:04:26Z,2026-06-26T22:00:00Z,1.0,5890419.92,3233858.68
KXWCGAME-26JUN26SENIRQ,Senegal vs Iraq,KXWCGAME-26JUN26SENIRQ-IRQ,Iraq,Iraq,finalized,no,2026-05-22T18:52:00Z,2026-06-26T21:04:26Z,2026-06-26T22:00:00Z,0.0,14036513.85,10691637.89
KXWCGAME-26JUN26SENIRQ,Senegal vs Iraq,KXWCGAME-26JUN26SENIRQ-TIE,Tie,Tie,finalized,no,2026-05-22T18:52:00Z,2026-06-26T21:04:26Z,2026-06-26T22:00:00Z,0.0,6785499.84,5320231.22
KXWCGAME-26JUN26NORFRA,Norway vs France,KXWCGAME-26JUN26NORFRA-NOR,Norway,Norway,finalized,no,2026-02-04T18:28:00Z,2026-06-26T21:00:37Z,2026-06-26T20:50:05.814Z,0.0,28136566.92,19504997.66
KXWCGAME-26JUN26NORFRA,Norway vs France,KXWCGAME-26JUN26NORFRA-FRA,France,France,finalized,yes,2026-02-04T18:28:00Z,2026-06-26T21:00:37Z,2026-06-26T20:50:05.814Z,1.0,30948908.7,24197935.48
